Majors:
Accounting, MS
Anthropology, BA
Anthropology, MA
Applied and Engineering Physics, MS
Applied Computer Science, BS
Applied Information Technology, MS
Applied Science, BAS
Art and Visual Technology, BA
Art and Visual Technology, BFA
Art History, BA
Art History, MA
Arts Education, MAT
Arts Management, MA
Astronomy, BS
Athletic Training, MS
Atmospheric Sciences, BS
Biodefense, MS
Biodefense, PhD
Bioengineering, BS
Bioengineering, MS
Bioengineering, PhD
Bioinformatics and Computational Biology, MS
Bioinformatics and Computational Biology, PhD
Bioinformatics Management, MS
Biology, BA
Biology, BS
Biology, MS
Biosciences, PhD
Biostatistics, MS
Business Administration, MBA
Business Analytics, MS
Business, BS
Business, PhD
Chemistry and Biochemistry, PhD
Chemistry, BA
Chemistry, BS
Chemistry, MS
Civil and Infrastructure Engineering, BS
Civil and Infrastructure Engineering, MS
Civil and Infrastructure Engineering, PhD
Climate Dynamics, PhD
Climate Science, MS
Communication, BA
Communication, MA
Communication, PhD
Community Health, BS
Computational and Data Sciences, BS
Computational Science, MS
Computational Sciences and Informatics, PhD
Computational Social Science, PhD
Computer Engineering, BS
Computer Engineering, MS
Computer Game Design, BFA
Computer Science, BS
Computer Science, MS
Computer Science, PhD
Conflict Analysis and Resolution, BA
Conflict Analysis and Resolution, BS
Conflict Analysis and Resolution, MS
Conflict Analysis and Resolution, PhD
Counseling, MEd
Creative Writing, BFA
Creative Writing, MFA
Criminal Justice, MS
Criminology, Law and Society, BA
Criminology, Law and Society, BS
Criminology, Law and Society, MA
Criminology, Law and Society, PhD
Cultural Studies, PhD
Curriculum and Instruction, MEd
Cyber Security Engineering, BS
Cyber Security Engineering, MS
Dance, BFA
Data Analytics Engineering, MS
Digital Forensics, MS
Early Childhood Education for Diverse Learners, BSEd
Earth Systems and Geoinformation Sciences, PhD
Earth Systems Science, MS (AOES)
Earth Systems Science, MS (GGS)
Economics, BA
Economics, BS
Economics, MA
Economics, PhD
Education Leadership, MEd
Education, PhD
Educational Psychology, MS
Electrical and Computer Engineering, PhD
Electrical Engineering, BS
Electrical Engineering, MS
Elementary Education, BSEd
English, BA
English, MA
Environmental and Sustainability Studies, BA (CHSS)
Environmental and Sustainability Studies, BA (COS)
Environmental Science and Policy, MS
Environmental Science and Public Policy, PhD
Environmental Science, BS
Film and Video Studies, BA
Finance, MS
Foreign Languages, BA
Foreign Languages, MA
Forensic Science, BS
Forensic Science, MS
Geographic and Cartographic Sciences, MS
Geography, BA
Geography, BS
Geoinformatics and Geospatial Intelligence, MS
Geology, BA
Geology, BS
Global Affairs, BA
Global Affairs, MA
Global Commerce and Policy, MA
Global Health, MS
Government and International Politics, BA
Health Administration, BS
Health Informatics, BS
Health Informatics, MS
Health Services Research, PhD
Higher Education and Student Development, MA
History, BA
History, MA
History, PhD
Human Development and Family Science, BA
Information Security and Assurance, MS
Information Systems, MS (CS)
Information Systems, MS (IST)
Information Technology, BS
Information Technology, PhD
Integrative Studies, BA
Integrative Studies, BS
Interdisciplinary Studies, MAIS
International Security and Law, BA
International Security, MA
Kinesiology, BS
Kinesiology, MS
Learning Design and Technology, MS
Linguistics, PhD
Management, MS
Marketing, MS
Mathematics, BA
Mathematics, BS
Mathematics, MS
Mathematics, PhD
Mechanical Engineering, BS
Medical Laboratory Science, BS
Middle East and Islamic Studies, MA
Music Education, PhD
Music, BA
Music, BM
Musical Arts, DMA
Neuroscience, BS
Neuroscience, PhD
Nursing, BSN
Nursing, DNP
Nursing, MSN
Nursing, PhD
Nutrition, MS
Operations Research, MS
Organization Development and Knowledge Management, MS
Philosophy, BA
Philosophy, MA
Physical Education, BSEd
Physics, BS
Physics, PhD
Political Science, MA
Political Science, PhD
Psychology, BA
Psychology, BS
Psychology, MA (CEHD)
Psychology, MA (CHSS)
Psychology, PhD
Public Administration, BS
Public Administration, MPA
Public Health, MPH
Public Health, PhD
Public Policy, PhD
Real Estate Development, MS
Recreation Management, BS
Religious Studies, BA
Russian and Eurasian Studies, BA
Social Work, BSW
Social Work, MSW
Sociology, BA
Sociology, MA
Sociology, PhD
Software Engineering, MS
Special Education, BSEd
Special Education, MEd
Sport and Recreation Studies, MS
Sport Management, BS
Statistical Science, MS
Statistical Science, PhD
Statistics, BS
Systems and Industrial Engineering, BS
Systems Engineering and Operations Research, PhD
Systems Engineering, MS
Taxation, MS
Technology Management, MS
Telecommunications, MS
Theater, BA
Theater, BFA
Tourism and Events Management, BS
Visual and Performing Arts, MFA
Writing and Rhetoric, PhD

Minors:
African and African American Studies Minor
Aging Studies Minor
American Government Minor
American Sign Language Minor
Ancient History and Mediterranean Archaeology Minor
Animation Minor
Anthropology Minor
Arabic Minor
Art History Minor
Arts and Social Change Minor
Arts Management Minor
Asia-Pacific and Northeast Asian Studies Minor
Assistive Technology Minor
Astronomy Minor
Astrophysics Minor
Atmospheric Science Minor
Audio Production Minor
Aviation Flight Training and Management Minor
Bioengineering Minor
Bioinformatics Minor
Biology Minor
Brain, Body and Behavior Minor
Business Analytics Minor
Business Minor
Chemistry Minor
Childhood Studies Minor
Chinese Minor
Classical Studies Minor
Clinical Psychology Minor
Coaching Minor
Communication Minor
Community and Public Writing Minor
Computational and Data Sciences Minor
Computer Game Design Minor (CVPA)
Computer Science Minor
Conflict Analysis and Resolution Minor
Conservation Biology Minor
Conservation Studies Minor (CHSS)
Conservation Studies Minor (COS)
Criminology, Law and Society Minor
Dance Appreciation Minor
Data Analysis Minor
Design and Technical Theater Minor
Design Thinking Minor
Developmental Psychology Minor
Digital Humanities Minor
Digital Media and Web Design Minor (CEC)
Digital Media and Web Design Minor (CHSS)
Digital Media and Web Design Minor (CVPA)
Dynamic Publishing Minor
Early Childhood Education for Diverse Learners Minor
Earth Science Minor
Economics Minor
Educational Psychology Minor
Electrical and Computer Engineering Minor
Energy Transition Management Minor
English Minor
Entrepreneurship Minor
Environmental Consulting Minor
Environmental Engineering Minor
Environmental Policy Minor
